OID_,vh_raw,vv_raw,S1_pixel_ID,class_assignment
1,0.0377220,0.2073292,1051,
2,0.0228943,0.2584647,678,
3,0.0346664,0.2093434,158,
4,0.0350922,0.5687796,1535,
5,0.0295908,0.4137955,779,
6,0.0366131,0.2324250,1453,
7,0.0706152,0.2113252,275,
8,0.0308852,0.5609635,555,
9,0.0387146,0.3311434,1600,
10,0.0662697,0.1840090,1282,
11,0.0976126,0.2251698,1138,
12,0.0628003,0.2894626,665,
13,0.0703995,0.1331166,1570,
14,0.0789532,0.2327390,1163,
15,0.0917327,0.2417113,1418,
16,0.0808673,0.2454980,1814,
17,0.0535358,0.1319407,545,
18,0.0381661,0.1528309,387,
19,0.0464174,0.1662077,1657,
20,0.0803340,0.2572369,915,
21,0.0425013,0.2069737,930,
22,0.0522154,0.2480440,956,
23,0.1168200,0.4024758,403,
24,0.1400925,0.4396009,824,
25,0.0609185,0.2022373,846,
26,0.0768374,0.2877258,1332,
27,0.0686374,0.2499520,1203,
28,0.0989309,0.2446165,1606,
29,0.0878739,0.2109307,1123,
30,0.0383965,0.0992782,307,
31,0.0127920,0.0689997,197,
32,0.0656852,0.2926415,983,
33,0.0446862,0.1524914,229,
34,0.0373638,0.0614341,533,
35,0.0260694,0.0789911,909,
36,0.0147846,0.0486867,1209,
37,0.0076664,0.0376240,47,
38,0.0591068,0.2330725,656,
39,0.0251748,0.1108817,1730,
40,0.0167227,0.0695126,784,
41,0.0118347,0.0755476,584,
42,0.0093879,0.0592360,836,
43,0.0085748,0.0495035,34,
44,0.0055002,0.0348303,1666,
45,0.0076760,0.0471991,1739,
46,0.0070797,0.0606481,1146,
47,0.0083975,0.0656709,421,
48,0.1173526,0.3135343,1156,
49,0.1024090,0.2318640,1063,
50,0.0426386,0.1986536,1931,
51,0.0529149,0.1935565,1067,
52,0.1677238,0.2916842,1187,
53,0.1330360,0.3140972,1578,
54,0.0435072,0.1877945,260,
55,0.0166631,0.0932299,18,
56,0.0130769,0.0613493,472,
57,0.0105047,0.0691646,1228,
58,0.0106232,0.0563234,720,
59,0.2473560,0.6112782,140,
60,0.1076613,0.3556528,1592,
61,0.0254975,0.1744321,1414,
62,0.0200355,0.0541070,1076,
63,0.0099312,0.0578058,181,
64,0.0117675,0.0475436,1439,
65,0.2085936,0.5976703,359,
66,0.0962526,0.4020816,268,
67,0.0419375,0.1983226,1899,
68,0.0150350,0.0925289,1632,
69,0.0096661,0.0614923,1019,
70,0.0662329,0.3383758,1404,
71,0.0285813,0.1571752,1446,
72,0.0130963,0.0951921,1386,
73,0.0705426,0.1545738,719,
74,0.0328514,0.1015372,976,
75,0.0995735,0.0961799,1021,
76,0.0080521,0.0459475,863,
77,0.0047486,0.0646106,1833,
78,0.0070881,0.0475257,409,
79,0.0092908,0.0425836,1257,
80,0.0102732,0.0490573,524,
81,0.0097126,0.0437455,1695,
82,0.0057443,0.0718899,1680,
83,0.0138694,0.0399313,595,
84,0.0104990,0.0458024,1506,
85,0.0075603,0.0336940,1393,
86,0.0052817,0.0661228,1166,
87,0.0080206,0.0642302,753,
88,0.0129168,0.0634525,1447,
89,0.0191565,0.0394554,1910,
90,0.0101441,0.0366305,460,
91,0.0081367,0.0460149,926,
92,0.0077699,0.0774989,1903,
93,0.0096467,0.0897100,825,
94,0.0135319,0.0762402,1025,
95,0.0172382,0.0467836,119,
96,0.0117716,0.0320827,1754,
97,0.0107275,0.0510716,1136,
98,0.0102686,0.0735889,98,
99,0.0097577,0.0945944,1196,
100,0.0102003,0.0599026,985,
101,0.0139156,0.0474097,451,
102,0.0155477,0.0551633,200,
103,0.0242499,0.0583568,1246,
104,0.0200188,0.0550376,502,
105,0.0389303,0.0721840,764,
106,0.0103496,0.0303743,1783,
107,0.0095284,0.0304304,261,
108,0.0129648,0.0475828,1033,
109,0.0261577,0.0472358,1665,
110,0.0192606,0.0628431,1562,
111,0.0069563,0.1217313,379,
112,0.0109014,0.0782015,217,
113,0.0154879,0.0763387,826,
114,0.0144238,0.1169031,1087,
115,0.0138068,0.1074075,1704,
116,0.0145829,0.1643600,1789,
117,0.0131136,0.1402337,1734,
118,0.0843205,0.3137293,766,
119,0.1386469,0.2825540,750,
120,0.1215477,0.2359789,279,
121,0.0076200,0.0445842,175,
122,0.0237837,0.2037610,1200,
123,0.0784890,0.2593693,906,
124,0.1432042,0.2035030,980,
125,0.1057289,0.2907248,1120,
126,0.0326923,0.0860807,1538,
127,0.0238760,0.0737700,1240,
128,0.0189004,0.1514553,196,
129,0.0525802,0.1488927,1291,
130,0.0885236,0.0935317,225,
131,0.0851345,0.2858454,355,
132,0.0880296,0.2046112,1834,
133,0.0654691,0.1694221,8,
134,0.0252226,0.0923714,530,
135,0.0237164,0.0550187,165,
136,0.0303109,0.0488672,1078,
137,0.0561106,0.1833431,596,
138,0.0340696,0.0742190,1483,
139,0.0216356,0.0299296,3,
140,0.0125989,0.0364007,1764,
141,0.0186081,0.0619602,325,
142,0.0253624,0.0298945,1533,
143,0.0194647,0.0219148,1805,
144,0.0146298,0.0260643,1264,
145,0.0522612,0.2874323,531,
146,0.0561762,0.5169342,657,
147,0.1003878,0.6579996,294,
148,0.1191629,0.8663042,1285,
149,0.0949360,0.5239093,939,
150,0.1014034,0.4570406,194,
151,0.1309290,0.8593712,1045,
152,0.1002325,0.5974827,1647,
153,0.1041069,0.3380265,941,
154,0.0726895,0.2002828,1099,
155,0.0508846,0.1717377,1667,
156,0.0853214,0.4121206,410,
157,0.0848403,0.3881799,1512,
158,0.1104432,0.2303767,946,
159,0.0955702,0.2017020,650,
160,0.0383545,0.1706923,167,
161,0.0222586,0.0434446,630,
162,0.0360319,0.0942958,273,
163,0.0407184,0.1421427,1114,
164,0.0412794,0.1476405,710,
165,0.0482634,0.1733798,1358,
166,0.0277376,0.1448958,1612,
167,0.0162489,0.1587273,788,
168,0.0161414,0.1303945,388,
169,0.0179412,0.1264077,548,
170,0.0137997,0.1080448,1037,
171,0.0304800,0.1365694,917,
172,0.0464190,0.1530047,751,
173,0.0880115,0.1377615,1047,
174,0.0194840,0.0786590,1615,
175,0.0139292,0.0256031,1620,
176,0.0070207,0.0206593,1289,
177,0.0112595,0.0334648,762,
178,0.0120232,0.0720415,191,
179,0.0723188,0.2302828,1729,
180,0.0350463,0.0785983,42,
181,0.0117890,0.0308130,1746,
182,0.0098797,0.0431500,1705,
183,0.0102232,0.0556431,1553,
184,0.0744678,0.1289405,1346,
185,0.0229185,0.0415068,1394,
186,0.0105140,0.0282786,589,
187,0.0073228,0.0292963,393,
188,0.0378561,0.0870638,1591,
189,0.0112404,0.0355159,1074,
190,0.0050550,0.0264924,929,
191,0.0269313,0.1394283,1325,
192,0.0044086,0.0586893,470,
193,0.0039447,0.0776505,1353,
194,0.0086042,0.0902026,874,
195,0.0096253,0.2032127,2,
196,0.0102718,0.1083903,1816,
197,0.0316570,0.0893875,377,
198,0.0082895,0.0621380,31,
199,0.0091857,0.1376221,471,
200,0.0126282,0.0937995,1377,
201,0.0187298,0.0716069,239,
202,0.0074242,0.0337748,1299,
203,0.0082184,0.0549411,1034,
204,0.0114779,0.0477770,344,
205,0.0157652,0.0480168,964,NC
206,0.0214578,0.0792836,302,NC
207,0.0055915,0.0180955,1568,
208,0.0055570,0.0207598,82,
209,0.0049731,0.0217878,245,
210,0.0073296,0.0319274,1511,NC
211,0.0150434,0.0468490,1528,smooth
212,0.0360099,0.0580475,267,
213,0.0055671,0.0307740,1258,
214,0.0067958,0.0336953,1907,
215,0.0053706,0.0247410,342,
216,0.0041798,0.0384940,1800,NC
217,0.0083805,0.0453020,597,smooth
218,0.0114937,0.0306708,1071,NC
219,0.0067100,0.0576550,1797,
220,0.0079459,0.0870447,1624,
221,0.0075672,0.0438050,247,
