date,S1_pixel_ID,VH,VV,roughness_p5,roughness_p25,roughness_p75,roughness_p95,VV_GLCM_cor,VV_GLCM_mean,VV_GLCM_var,VH_GLCM_mean,VH_GLCM_cor,VH_GLCM_var
0218,270,0.0053706,0.024741,0.0014295,0.0027608,0.0064687,0.0117276,1.0,62.0,1922.0,54.2777786,0.9581115,1547.7611084
0218,981,0.0041798,0.038494,0.0011541,0.0024249,0.0065984,0.0125832,1.0,62.0,1922.0,54.7277794,0.9628597,1568.527832
0218,768,0.0079459,0.0870447,0.0018948,0.0042665,0.0116295,0.0274794,1.0,62.0,1922.0,54.5527763,0.9609629,1560.8360596
0218,214,0.0075672,0.043805,0.0013215,0.0025622,0.0060413,0.011212,1.0,62.0,1922.0,54.2361107,0.957766,1545.6861572
0218,956,0.0036481,0.0474458,0.0011258,0.0021562,0.0054563,0.0103954,1.0,62.0,1922.0,54.6055565,0.9622247,1561.8666992
0218,1532,0.0236369,0.1267635,0.0013596,0.0028099,0.0071887,0.0155565,1.0,62.0,1922.0,56.586113,0.9733126,1660.8972168
0218,1252,0.0126458,0.0925157,0.0014273,0.002859,0.0082266,0.0264881,1.0,62.0,1922.0,55.5666656,0.9665318,1613.472168
0218,860,0.0140109,0.118076,0.0013927,0.0029486,0.0087977,0.0230023,1.0,62.0,1922.0,54.9083328,0.9621224,1580.8972168
0218,714,0.0121042,0.0734038,0.0011596,0.0022161,0.0052765,0.0093386,1.0,62.0,1922.0,54.5777779,0.9589466,1564.9000244
0218,135,0.0061988,0.0503967,0.0010216,0.001904,0.0044944,0.0081702,1.0,62.0,1922.0,54.8250008,0.9629082,1574.3972168
0218,672,0.0518249,0.1584449,0.0010587,0.0020826,0.0053747,0.0099793,1.0,62.0,1922.0,56.2750015,0.9712767,1648.9694824
0218,864,0.0322534,0.112542,0.0011472,0.0022041,0.0052329,0.0096974,1.0,62.0,1922.0,55.5666656,0.9667801,1613.6555176
0218,553,0.0161384,0.0482296,0.0008557,0.0015586,0.0035799,0.0064965,1.0,62.0,1922.0,55.1944427,0.9635817,1595.1999512
0218,1484,0.0087148,0.0509634,0.0010167,0.001936,0.0046709,0.0086437,1.0,62.0,1922.0,55.3416672,0.9668441,1599.430542
0218,1083,0.0628827,0.1925146,0.0012637,0.0025659,0.0061741,0.0104647,1.0,62.0,1922.0,56.5305557,0.9725952,1661.4083252
0218,718,0.0221239,0.1083517,0.0008274,0.0014953,0.0033443,0.0059343,1.0,62.0,1922.0,56.1555557,0.9695503,1642.7833252
0218,1570,0.0165636,0.0994752,0.0008498,0.0015821,0.0038939,0.0077319,1.0,62.0,1922.0,56.1888885,0.9718302,1641.2388916
0218,504,0.0727276,0.3453006,0.0008352,0.0015563,0.0038129,0.0077603,1.0,62.0,1922.0,58.2305565,0.9797536,1741.458374
