OID_,S1_pixel_ID,class,AREA,PERCENTAGE
1,3,smooth,48.73190745,48.73190743
2,6,mixed,0.18109836,0.18109836
3,8,rough,54.03177534,54.03177532
4,13,mixed,100,100.0000001
5,15,rough,63.43411152,63.4341115
6,16,smooth,100,100.0000002
7,17,water,68.36307282,68.36307285
8,21,rough,1.19657811,1.196578111
9,23,smooth,99.93282747,99.93282751
10,24,smooth,73.6605,73.66049997
11,25,water,54.88487954,54.8848796
12,30,water,66.74517458,66.74517453
13,32,rough,67.69527081,67.69527078
14,35,rough,40.99808303,40.99808307
15,40,rough,39.4999088,39.49990873
16,40,water,36.40634848,36.40634841
17,41,rough,21.61715275,21.61715277
18,43,rough,1.39376813,1.39376813
19,44,mixed,43.46244987,43.46244989
20,46,rough,6.3468262,6.346826207
21,47,rough,23.66003988,23.66003988
22,48,smooth,100,99.99999989
23,54,rough,53.65336862,53.65336868
24,55,water,89.9108165,89.91081653
25,56,mixed,100,99.99999996
26,57,smooth,25.76247465,25.76247462
27,59,smooth,9.31156759,9.31156758
28,61,smooth,19.25189728,19.25189732
29,62,mixed,7.2895,7.289500002
30,64,rough,100,100
31,65,water,100,99.99999963
32,66,smooth,100,100
33,67,rough,75.43320433,75.43320408
34,69,rough,12.54490983,12.54490983
35,71,mixed,35.7939552,35.79395513
36,72,water,4.46418084,4.464180845
37,73,smooth,100,99.99999989
38,75,smooth,100,99.99999996
39,76,rough,26.19267857,26.19267856
40,77,rough,86.53963375,86.53963372
41,80,mixed,61.891,61.89099998
42,81,mixed,100,100.0000002
43,82,smooth,100,100.0000001
44,83,mixed,99.45407474,99.4540747
45,85,smooth,100,100.0000001
46,86,rough,68.30584764,68.30584749
47,90,mixed,32.722,32.72200004
48,94,rough,6.41562371,6.415623708
49,95,mixed,65.21,65.20999993
50,95,rough,0.432322265,0.432322265
51,99,rough,4.67372459,4.673724592
52,100,mixed,100,99.99999989
53,102,mixed,0.09240748,0.09240748
54,104,mixed,100,100
55,105,smooth,97.80783266,97.80783277
56,106,mixed,67.6884937,67.68849378
57,107,mixed,43.80778062,43.80778057
58,109,water,32.35702593,32.35702587
59,110,mixed,7.53199717,7.531997184
60,113,water,14.29415789,14.29415792
61,114,rough,0.42125346,0.421253461
62,115,mixed,100,100
63,116,rough,67.94860756,67.94860758
64,117,rough,19.38565133,19.38565133
65,121,mixed,100,99.99999996
66,122,mixed,24.44701193,24.44701194
67,124,smooth,83.27442757,83.27442754
68,125,water,78.10826312,78.10826303
69,127,rough,18.37581078,18.37581079
70,129,mixed,28.3585,28.35849993
71,129,rough,0.326067735,0.326067734
72,130,smooth,100,99.99999978
73,132,rough,16.23971101,16.23971102
74,133,rough,100,100.0000002
75,135,rough,35.94346325,35.94346326
76,136,mixed,98.29808308,98.29808334
77,138,mixed,100,100.0000002
78,140,rough,16.28970278,16.2897028
79,141,rough,96.70332004,96.70332008
80,142,rough,9.3919133,9.391913286
81,143,smooth,30.04810724,30.04810727
82,144,smooth,53.74158124,53.74158126
83,145,rough,46.61567152,46.6156715
84,145,water,26.64122992,26.64122991
85,147,rough,61.51673875,61.51673877
86,148,mixed,100,99.99999996
87,151,smooth,41.4105,41.41049998
88,152,rough,58.14864185,58.14864196
89,153,rough,68.84976609,68.84976607
90,157,rough,33.80898818,33.80898816
91,158,rough,17.79764762,17.79764764
92,159,smooth,95.13803254,95.13803272
93,160,rough,100,100.0000001
94,162,rough,100,99.99999989
95,163,mixed,24.424977,24.42497696
96,165,water,27.31411656,27.31411654
97,166,smooth,100,99.99999996
98,168,smooth,92.33823477,92.33823474
99,169,mixed,83.69146702,83.69146711
100,172,smooth,100,100.0000003
101,174,smooth,100,100
102,177,mixed,100,100.0000001
103,178,rough,0.05495094,0.05495094
104,178,water,82.79405788,82.79405798
105,180,rough,42.65905596,42.659056
106,183,smooth,14.5755603,14.57556032
107,188,mixed,99.30869092,99.30869103
108,189,smooth,100,100.0000002
109,190,rough,36.81343309,36.8134331
110,194,mixed,100,99.99999996
111,195,rough,29.28394515,29.28394516
112,197,smooth,100,99.99999989
113,198,smooth,100,100.0000001
114,201,smooth,100,99.99999978
115,202,smooth,82.19468995,82.19468992
116,203,smooth,53.826,53.82600006
117,204,smooth,75.9885,75.98849997
118,206,water,0.002767765,0.002767765
119,207,smooth,0.08595228,0.08595228
120,208,smooth,4.12620752,4.126207516
121,210,rough,0.00256864,0.00256864
122,211,rough,67.81525739,67.81525737
123,212,rough,79.629,79.62899979
124,214,smooth,100,99.99999989
125,217,mixed,100,100
126,219,water,63.94518893,63.9451889
127,222,rough,50.16560474,50.16560473
128,225,water,35.20475999,35.20475998
129,226,mixed,100,99.99999996
130,227,rough,16.0735997,16.07359971
131,232,mixed,98.48942716,98.4894272
132,235,rough,7.366472465,7.366472473
133,236,rough,97.2508905,97.25089054
134,238,smooth,100,99.99999989
135,240,rough,14.02062557,14.02062554
136,242,mixed,6.31025073,6.310250728
137,243,rough,81.72687305,81.72687302
138,245,rough,20.25877272,20.25877271
139,248,mixed,34.81008087,34.81008088
140,250,mixed,100,99.99999996
141,251,mixed,47.4945,47.49450002
142,253,water,13.80083495,13.80083497
