date,S1_pixel_ID,scale,shape,ks,ad
0218,1,0.0046888639753551,0.8164565142134929,0.006509683031023,231940.81713277972
0218,2,0.0026291926012038,0.619089582473027,0.010316574911096,2027.94895927397
0218,3,0.0021317911474024,0.5918357578058356,0.006076369441454,2045.871111892382
0218,4,0.0022659183802984,0.6606229476476083,0.0217723256230687,234133.17747428617
0218,5,0.0027308799100102,0.7760496101254722,0.0199810833624442,3339.1806359303737
0218,6,0.0014665863320583,0.5277844395925961,0.0079620074104531,1539.1165399571037
0218,7,0.0024271409163236,0.5785435974882481,0.0155784044295387,1611.5534162288532
0218,8,0.0023766989387782,0.5897371123620506,0.0107023614583392,1739.2067015019566
0218,9,0.003451459182033,0.9820013561080072,0.0304898753538686,235266.7105787146
0218,10,0.0035787832850035,0.7773333477781453,0.0193930163819342,2811.583257707578
0218,11,0.0019517714454256,0.5987276290640864,0.0082830908525827,2322.669231663298
0218,13,0.0023119875300318,0.6079362757667326,0.0154758913847429,1811.7763688073464
0218,14,0.0019043889768243,0.573925588530965,0.0111949196868945,1611.6848140765214
0218,15,0.0027659921800265,0.6981274208338085,0.0091561070079437,229338.9866265952
0218,16,0.0030336508862173,0.7845580792236825,0.0248096570383111,231453.9994027225
0218,17,0.003079128098242,0.7081714629292416,0.0098540795365029,3214.378915710724
0218,18,0.0036269153735636,0.693876789147923,0.0074763104591787,2593.904309727702
0218,19,0.0021913506781952,0.5910126038281582,0.0065930603688965,2014.1473286586552
0218,20,0.0038217072804503,0.8003825844066761,0.0124730426942247,231875.9176383828
0218,21,0.0024145858055292,0.6176099741080581,0.013215269073573,1955.7792614812497
0218,22,0.0064549677950893,0.8141479584265918,0.0150307384052377,232871.76273783285
0218,23,0.0018691415407451,0.5500118477470732,0.0091874752313128,1606.464203065887
0218,24,0.0058968216393001,0.7556322435454244,0.0254807626094397,3825.438913410559
0218,25,0.005611674935582,0.7457627651511737,0.0195943921567077,227328.60793587263
0218,26,0.0022010099265677,0.7265661838436608,0.0392331133383659,5073.6162023197685
0218,27,0.0021015970619552,0.5644308196426842,0.0119774539162612,1477.6441608066525
0218,28,0.0024602925250493,0.672476409648386,0.0127350060043345,231297.3363713981
0218,29,0.0026916122486998,0.6162881526535166,0.0107470526668987,1988.3177393900987
0218,30,0.0035620947384596,0.6485637704952627,0.0199397361195576,1879.58048902404
